Heal_UID,Day,Disease Healed,Sector
0,1,Chucklepox,7
1,1,Smokesickness,10
2,1,Smokesickness,10
3,1,Smokesickness,10
4,1,The Shivers,6
5,2,Gurglepox,6
6,2,Scramblepox,10
7,2,Smokesickness,3
8,2,Smokesickness,3
9,2,Smokesickness,3
10,2,Smokesickness,3
11,2,Smokesickness,3
12,2,Smokesickness,3
13,2,Smokesickness,3
14,2,Smokesickness,3
15,3,Scramblepox,11
16,3,Smokesickness,11
17,3,Smokesickness,11
18,3,Smokesickness,11
19,3,Scraped Knee,9
20,3,Scraped Knee,9
21,3,The Shivers,6
22,4,Babblepox,6
23,4,Babblepox,6
24,4,Babblepox,6
25,4,Bumblepox,2
26,4,Smokesickness,8
27,4,The Shivers,2
28,5,Scramblepox,1
29,5,Smokesickness,11
30,5,Smokesickness,11
31,5,Smokesickness,11
32,5,Smokesickness,11
33,5,Smokesickness,11
34,5,Smokesickness,11
35,5,The Shivers,6
36,6,Babblepox,5
37,6,Chucklepox,5
38,6,Smokesickness,4
39,6,Smokesickness,4
40,6,The Shivers,6
41,7,Bumblepox,2
42,7,Bumblepox,2
43,7,Scramblepox,5
44,7,Smokesickness,6
45,7,Smokesickness,6
46,7,Smokesickness,6
47,7,The Shivers,7
48,8,Scramblepox,4
49,8,Smokesickness,4
50,8,Smokesickness,4
51,8,The Shivers,6
52,9,Smokesickness,6
53,10,Rumblepox,4
54,10,Rumblepox,4
55,10,Rumblepox,4
56,10,Gurglepox,11
57,10,Scramblepox,6
58,10,Problems Disorder,8
59,10,Parachondria,8
60,10,Disease Syndrome,8
61,10,Problems Disorder,8
62,10,Disease Syndrome,8
63,10,Problems Disorder,8
64,10,Parachondria,8
65,10,Problems Disorder,8
66,10,Disease Syndrome,8
67,10,Disease Syndrome,8
68,10,Disease Syndrome,8
69,10,Disease Syndrome,8
70,10,Smokesickness,6
71,10,The Shivers,6
72,11,Smokesickness,4
73,11,Smokesickness,4
74,11,Smokesickness,4
75,12,Gurglepox,2
76,12,Scramblepox,8
77,12,Smokesickness,11
78,12,Scraped Elbow,11
79,12,The Shivers,6
80,13,Scramblepox,11
81,14,Bumblepox,10
82,14,Smokesickness,5
83,14,Smokesickness,5
84,14,Smokesickness,5
85,14,The Shivers,2
86,15,Chucklepox,8
87,15,Scramblepox,8
88,15,Chucklepox,8
89,15,Scramblepox,11
90,15,Smokesickness,9
91,15,Smokesickness,9
92,15,The Shivers,1
93,16,Scramblepox,2
94,16,The Shivers,12
95,17,Babblepox,8
96,17,Gurglepox,12
97,17,Smokesickness,11
98,17,Smokesickness,11
99,17,The Shivers,1
100,19,Chucklepox,2
101,19,Babblepox,2
102,19,Smokesickness,10
103,19,Smokesickness,10
104,19,The Shivers,7
105,20,Rumblepox,1
106,20,Rumblepox,1
107,20,Rumblepox,1
108,20,Rumblepox,1
109,20,Rumblepox,1
110,20,Rumblepox,1
111,21,Chucklepox,6
112,21,Gurglepox,6
113,21,Smokesickness,10
114,21,Smokesickness,10
115,21,Smokesickness,10
116,21,Smokesickness,10
117,21,Smokesickness,10
118,21,The Shivers,1
119,22,Chucklepox,6
120,22,Scramblepox,6
121,22,Rumblepox,6
122,22,Scramblepox,8
123,22,The Shivers,6
124,23,Chucklepox,5
125,23,Bumblepox,7
126,23,Smokesickness,9
127,23,Smokesickness,9
128,23,Smokesickness,9
129,23,The Shivers,8
130,24,Rumblepox,6
131,24,Rumblepox,6
132,24,Rumblepox,6
133,24,Rumblepox,6
134,24,Rumblepox,6
135,24,Rumblepox,6
136,24,Mildly But Persistently Itchy Throat,11
137,24,Bumblepox,10
138,24,Smokesickness,3
139,24,Smokesickness,3
140,24,Smokesickness,3
141,24,The Shivers,6
142,25,Scramblepox,11
143,25,Smokesickness,8
144,26,Smokesickness,9
145,26,Smokesickness,9
146,26,Smokesickness,9
147,26,Smokesickness,9
148,26,Smokesickness,9
149,26,Smokesickness,9
150,26,The Shivers,8
151,27,Scramblepox,1
152,27,Smokesickness,8
153,27,Smokesickness,8
154,27,Smokesickness,8
155,27,Smokesickness,8
156,27,Smokesickness,8
157,27,The Shivers,6
158,28,Scramblepox,12
159,28,The Shivers,6
160,29,Gurglepox,6
161,29,Rumblepox,6
162,29,Chucklepox,6
163,29,Chucklepox,6
164,29,Bumblepox,3
165,29,Smokesickness,7
166,29,Scraped Knee,5
167,29,Scraped Knee,5
168,29,Scraped Knee,5
169,30,Gurglepox,8
170,30,Rumblepox,8
171,30,Babblepox,8
172,30,Smokesickness,7
173,30,Smokesickness,7
174,30,Smokesickness,7
175,30,Smokesickness,7
176,30,Smokesickness,7
177,30,Smokesickness,7
178,30,The Shivers,4
179,31,Rumblepox,6
180,31,Rumblepox,6
181,31,Rumblepox,6
182,31,Rumblepox,6
183,31,Rumblepox,6
184,31,Rumblepox,6
185,31,Scramblepox,4
186,31,Babblepox,4
187,31,Chucklepox,4
188,31,Scramblepox,5
189,31,Smokesickness,9
190,31,Smokesickness,9
191,31,Smokesickness,9
192,32,Scramblepox,4
193,32,The Shivers,6
194,33,Rumblepox,6
195,33,Smokesickness,11
196,33,Smokesickness,11
197,33,The Shivers,6
198,34,Gurglepox,11
199,34,Smokesickness,8
200,34,Smokesickness,8
201,34,Smokesickness,8
202,34,Smokesickness,8
203,34,Smokesickness,8
204,34,Smokesickness,8
205,34,The Shivers,6
206,35,Bumblepox,6
207,35,Smokesickness,9
208,35,Smokesickness,9
209,36,Bumblepox,8
210,36,Smokesickness,11
211,36,Smokesickness,11
212,36,Smokesickness,11
213,36,Smokesickness,11
214,36,Smokesickness,11
215,36,Smokesickness,11
216,36,Smokesickness,11
217,36,The Shivers,3
218,37,Babblepox,3
219,37,Scramblepox,3
220,37,Smokesickness,7
221,37,Smokesickness,7
222,37,The Shivers,7
223,38,Smokesickness,5
224,38,Scraped Knee,12
225,38,Scraped Knee,12
226,38,Scraped Knee,12
227,38,Scraped Knee,12
228,38,The Shivers,6
229,39,Smokesickness,11
230,39,Smokesickness,11
231,40,Bumblepox,12
232,40,Smokesickness,10
233,40,Smokesickness,10
234,40,The Shivers,6
235,41,Rumblepox,5
236,41,Smokesickness,7
237,41,Smokesickness,7
238,41,The Shivers,8
239,42,Bumblepox,2
240,42,Smokesickness,7
241,42,Smokesickness,7
242,42,The Shivers,6
243,43,Rumblepox,6
244,43,Rumblepox,6
245,43,Rumblepox,6
246,43,Rumblepox,6
247,43,Problems Disorder,8
248,43,Problems Disorder,8
249,43,Disease Syndrome,8
250,43,Problems Disorder,8
251,43,Problems Disorder,8
252,43,Disease Syndrome,8
253,43,Problems Disorder,8
254,43,Disease Syndrome,8
255,43,Parachondria,8
256,43,Smokesickness,11
257,43,Smokesickness,11
258,43,Smokesickness,11
259,43,Smokesickness,11
260,43,Smokesickness,11
261,43,Smokesickness,11
262,43,Smokesickness,11
263,43,Smokesickness,11
264,43,The Shivers,1
265,44,Scramblepox,6
266,44,Smokesickness,7
267,44,Smokesickness,7
268,44,Smokesickness,7
269,44,Smokesickness,7
270,44,Smokesickness,7
271,44,The Shivers,6
272,46,Scramblepox,8
273,46,Smokesickness,8
274,46,Smokesickness,8
275,46,Smokesickness,8
276,46,Scraped Elbow,4
277,46,Scraped Knee,4
278,46,Scraped Knee,4
279,46,The Shivers,7
280,47,Chucklepox,4
281,47,Chucklepox,4
282,47,Scramblepox,9
283,47,Smokesickness,6
284,47,The Shivers,8
285,48,Rumblepox,6
286,48,Rumblepox,6
287,48,Rumblepox,6
288,48,Smokesickness,11
289,48,Smokesickness,11
290,49,Scramblepox,9
291,49,Disease Syndrome,6
292,49,Problems Disorder,6
293,49,Disease Syndrome,6
294,49,Parachondria,6
295,49,Disease Syndrome,6
296,49,Parachondria,6
297,49,Problems Disorder,6
298,49,Disease Syndrome,6
299,49,Parachondria,6
300,49,Disease Syndrome,6
301,49,Disease Syndrome,6
302,49,Disease Syndrome,6
303,49,Smokesickness,10
304,49,Smokesickness,10
305,49,Smokesickness,10
306,49,Smokesickness,10
307,49,Smokesickness,10
308,49,Smokesickness,10
