Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
1,N/A,5,N/A,N/A,11,N/A,10,7,N/A,N/A,N/A,N/A,8,10,N/A,N/A,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,11,11,N/A,N/A,6,N/A,N/A,N/A,N/A,7,3,N/A,N/A,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,12,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,N/A,N/A,N/A,N/A,9,N/A
4,N/A,7,N/A,1,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
5,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,11,N/A,N/A,N/A,N/A,N/A,N/A
6,N/A,5,N/A,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
7,N/A,7,N/A,4,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,8,6,N/A,N/A,N/A,N/A,N/A,N/A
8,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,5,4,N/A,10,N/A,6,N/A,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,9,N/A
10,N/A,N/A,N/A,7,7,N/A,N/A,N/A,5,N/A,N/A,N/A,9,6,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,5,N/A,9,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,10,11,N/A,N/A,N/A,N/A,11,N/A
13,N/A,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A
14,N/A,7,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,5,N/A,N/A,N/A,N/A,8,N/A
15,N/A,7,N/A,12,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
16,N/A,5,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,10,N/A,N/A,N/A,N/A,N/A,N/A
17,N/A,7,N/A,N/A,10,N/A,2,8,6,N/A,N/A,N/A,1,11,N/A,N/A,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A,7,N/A,3,N/A,N/A,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A,9,N/A,4,2,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A
20,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,9,11,N/A,N/A,N/A,N/A,N/A,N/A
21,N/A,5,N/A,N/A,N/A,N/A,6,6,N/A,N/A,N/A,N/A,7,10,N/A,N/A,N/A,N/A,N/A,N/A
22,N/A,7,6,7,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,8,8,N/A,N/A,N/A,N/A,N/A,N/A
23,N/A,7,N/A,8,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A
24,N/A,7,N/A,9,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A
25,N/A,5,N/A,10,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,8,N/A,N/A,N/A,N/A,N/A,N/A
26,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A
27,N/A,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,8,N/A,N/A,N/A,N/A,N/A,N/A
28,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,5,N/A,N/A,N/A,N/A,N/A,N/A
29,N/A,5,N/A,2,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,N/A,5,N/A
30,N/A,7,6,N/A,N/A,N/A,3,8,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,N/A,N/A,N/A
31,N/A,7,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,11,9,N/A,N/A,N/A,N/A,N/A,N/A
